"datasetID","site","nt"
69,"d69_ Europe_IE_Dalkey_Killiney_-226 ",1
69,"d69_ Europe_IE_Dun_Laoghaire_-226 ",1
69,"d69_ Europe_IE_Giles_Quay_2 ",1
69,"d69_ Europe_IE_Great_Saltee_36 ",1
69,"d69_ Europe_IE_Great_Saltee_Island_36 ",2
69,"d69_ Europe_IE_Greenore_Harbour_-7 ",1
69,"d69_ Europe_IE_Helvick_Head_27 ",1
69,"d69_ Europe_IE_Howth_Head_-33 ",1
69,"d69_ Europe_IE_Knockadoon_Head_28 ",1
69,"d69_ Europe_IE_Mine_Head_-22 ",1
69,"d69_ Europe_IE_Port_Oriel_-43 ",1
69,"d69_ Europe_IE_Power_Head_31 ",1
69,"d69_ Europe_IE_Ram_Head_6 ",1
69,"d69_ Europe_IE_River_Liffey/Port_-55 ",1
69,"d69_ Europe_IE_Rockabill_17 ",1
69,"d69_ Europe_IE_Rosslare_Harbour_-25 ",1
69,"d69_ Europe_IE_Skerries_(St.Pats.Is.)_-56 ",1
69,"d69_ Europe_IE_Wicklow_Head_-66 ",1
69,"d69_ Europe_GB_East_Group_(excluding_Eilean_Mor)_36 ",1
69,"d69_ Europe_IE_Howth_Harbour_-33 ",1
69,"d69_ Europe_GB_Annet_A_87 ",1
69,"d69_ Europe_GB_Annet_B_87 ",1
69,"d69_ Europe_GB_Annet_C_87 ",1
69,"d69_ Europe_GB_Annet_D_87 ",1
69,"d69_ Europe_GB_Annet_E_87 ",1
69,"d69_ Europe_GB_Annet_F_87 ",1
69,"d69_ Europe_GB_Annet_G_87 ",1
69,"d69_ Europe_GB_Annet_H_87 ",1
69,"d69_ Europe_GB_Annet_I_87 ",1
69,"d69_ Europe_GB_Annet_J_87 ",1
69,"d69_ Europe_GB_Appletree_Banks_31 ",1
69,"d69_ Europe_GB_Armed_Knight_51 ",1
69,"d69_ Europe_GB_Baulk_Head/Mullion_1_26 ",1
69,"d69_ Europe_GB_Baulk_Head/Mullion_2_26 ",1
69,"d69_ Europe_GB_Baulk_Head/Mullion_3_26 ",1
69,"d69_ Europe_GB_Baulk_Head/Mullion_4_56 ",1
69,"d69_ Europe_GB_Boscawen_Point_31 ",1
69,"d69_ Europe_GB_Botallack_2_41 ",1
69,"d69_ Europe_GB_Botallack1_41 ",1
69,"d69_ Europe_GB_Cadgwith_3 ",1
69,"d69_ Europe_GB_Carn_Barra_51 ",1
69,"d69_ Europe_GB_Carn_Near_31 ",1
69,"d69_ Europe_GB_Castle_Bryher_31 ",2
69,"d69_ Europe_GB_Castle_Down_31 ",1
69,"d69_ Europe_GB_Church_Cove_1_3 ",1
69,"d69_ Europe_GB_Church_Cove_2_3 ",1
69,"d69_ Europe_GB_Colvel_Rock_31 ",1
69,"d69_ Europe_GB_Coverack_3 ",1
69,"d69_ Europe_GB_Crane_Ledges_56 ",1
69,"d69_ Europe_GB_Crows_Island_31 ",1
69,"d69_ Europe_GB_Drift_31 ",1
69,"d69_ Europe_GB_Gimble_Porth_31 ",1
69,"d69_ Europe_GB_Gorregan_87 ",1
69,"d69_ Europe_GB_Great_Arthur_-1 ",1
69,"d69_ Europe_GB_Great_Cheese_-1 ",1
69,"d69_ Europe_GB_Great_Creabawethan_87 ",2
69,"d69_ Europe_GB_Great_Ganilly_-1 ",2
69,"d69_ Europe_GB_Great_Ganinick_-1 ",1
69,"d69_ Europe_GB_Great_Innisvouls_-1 ",1
69,"d69_ Europe_GB_Green_Island_(Samson)_31 ",1
69,"d69_ Europe_GB_Green_Island_-_Tresco_-1 ",1
69,"d69_ Europe_GB_Gribba_51 ",1
69,"d69_ Europe_GB_GughA_87 ",1
69,"d69_ Europe_GB_GughB_87 ",1
69,"d69_ Europe_GB_GughC_87 ",1
69,"d69_ Europe_GB_GughD_87 ",1
69,"d69_ Europe_GB_GughE_87 ",1
69,"d69_ Europe_GB_GughF_87 ",1
69,"d69_ Europe_GB_Guthers_Island_-1 ",1
69,"d69_ Europe_GB_Gweal_31 ",2
69,"d69_ Europe_GB_Gwennap_51 ",1
69,"d69_ Europe_GB_Half_tide_rock_31 ",1
69,"d69_ Europe_GB_Hanjague_-1 ",1
69,"d69_ Europe_GB_Hedge_Rock_-1 ",1
69,"d69_ Europe_GB_Housel_3 ",1
69,"d69_ Europe_GB_Illiswilgig_31 ",2
69,"d69_ Europe_GB_Little_Ganilly_-1 ",1
69,"d69_ Europe_GB_Little_Ganinick_-1 ",1
69,"d69_ Europe_GB_Little_Innisvouls_-1 ",1
69,"d69_ Europe_GB_Lizard_3 ",1
69,"d69_ Europe_GB_Melledgan_87 ",1
69,"d69_ Europe_GB_Men-a-Vaur_31 ",2
69,"d69_ Europe_GB_Menawethan_-1 ",1
69,"d69_ Europe_GB_Merrick_island_31 ",1
69,"d69_ Europe_GB_Middle_Arthur_-1 ",1
69,"d69_ Europe_GB_Mincarlo_31 ",2
69,"d69_ Europe_GB_Morvah_1_41 ",1
69,"d69_ Europe_GB_Mousehole_1_31 ",1
69,"d69_ Europe_GB_Mousehole_2_31 ",1
69,"d69_ Europe_GB_Mousehole_31 ",1
69,"d69_ Europe_GB_Mousehole_Island_31 ",1
69,"d69_ Europe_GB_Mullion/Predannack_1_56 ",1
69,"d69_ Europe_GB_Mullion/Predannack_2_56 ",1
69,"d69_ Europe_GB_Nanjizal_51 ",1
69,"d69_ Europe_GB_Newlyn_31 ",1
69,"d69_ Europe_GB_Nornour_-1 ",1
69,"d69_ Europe_GB_Norwethal_31 ",1
69,"d69_ Europe_GB_Paul_31 ",1
69,"d69_ Europe_GB_Peashopper_Isle_31 ",1
69,"d69_ Europe_GB_Pednbrose_-1 ",1
69,"d69_ Europe_GB_Pendeen_41 ",1
69,"d69_ Europe_GB_Pendower_51 ",1
69,"d69_ Europe_GB_Penlee_Point_31 ",1
69,"d69_ Europe_GB_Penlee_Quarry_31 ",1
69,"d69_ Europe_GB_Pentreath_56 ",1
69,"d69_ Europe_GB_Pernagie_-1 ",1
69,"d69_ Europe_GB_Plum_Isle_-1 ",1
69,"d69_ Europe_GB_Polpeor_56 ",1
69,"d69_ Europe_GB_Porthguarnon_1_31 ",1
69,"d69_ Europe_GB_Porthguarnon_2_31 ",1
69,"d69_ Europe_GB_Puffin_Island1_31 ",1
69,"d69_ Europe_GB_Ragged_Isle_-1 ",1
69,"d69_ Europe_GB_Rosevean_87 ",1
69,"d69_ Europe_GB_Rosevear_87 ",1
69,"d69_ Europe_GB_Round_Island1_-1 ",1
69,"d69_ Europe_GB_Ruan_Minor_3 ",1
69,"d69_ Europe_GB_Samson_1_31 ",1
69,"d69_ Europe_GB_Samson_10_31 ",1
69,"d69_ Europe_GB_Samson_11_31 ",1
69,"d69_ Europe_GB_Samson_12_31 ",1
69,"d69_ Europe_GB_Samson_13_31 ",1
69,"d69_ Europe_GB_Samson_14_31 ",1
69,"d69_ Europe_GB_Samson_15_31 ",1
69,"d69_ Europe_GB_Samson_2_31 ",1
69,"d69_ Europe_GB_Samson_3_31 ",1
69,"d69_ Europe_GB_Samson_4_31 ",1
69,"d69_ Europe_GB_Samson_5_31 ",1
69,"d69_ Europe_GB_Samson_6_31 ",1
69,"d69_ Europe_GB_Samson_7_31 ",1
69,"d69_ Europe_GB_Samson_8_31 ",1
69,"d69_ Europe_GB_Samson_9_31 ",1
69,"d69_ Europe_GB_Sancreed_31 ",1
69,"d69_ Europe_GB_Scilly_Rock_31 ",2
69,"d69_ Europe_GB_Sennen_51 ",1
69,"d69_ Europe_GB_Sheffield_31 ",1
69,"d69_ Europe_GB_Shipman_Head_31 ",2
69,"d69_ Europe_GB_St._Just_41 ",1
69,"d69_ Europe_GB_St_Agnes_A_87 ",1
69,"d69_ Europe_GB_St_Agnes_B_87 ",1
69,"d69_ Europe_GB_St_Agnes_C_87 ",1
69,"d69_ Europe_GB_Tater-du_1_31 ",1
69,"d69_ Europe_GB_Tater-du_2_31 ",1
69,"d69_ Europe_GB_Tean1_-1 ",1
69,"d69_ Europe_GB_Tean2_-1 ",1
69,"d69_ Europe_GB_Tean3_-1 ",1
69,"d69_ Europe_GB_Tean4_-1 ",1
69,"d69_ Europe_GB_Tean5_-1 ",1
69,"d69_ Europe_GB_Treen_Cliff_1_31 ",1
69,"d69_ Europe_GB_Treen_Cliff_2_51 ",1
69,"d69_ Europe_GB_West_Lizard_1_56 ",1
69,"d69_ Europe_GB_West_Lizard_2_56 ",1
69,"d69_ Europe_GB_West_Lizard_3_56 ",1
69,"d69_ Europe_GB_White_Island_31 ",1
69,"d69_ Europe_GB_White_Island1_-1 ",1
69,"d69_ Europe_GB_Annet_Whole_Island_87 ",1
69,"d69_ Europe_GB_Axmouth_-101 ",1
69,"d69_ Europe_GB_Ballard_Cliffs_-47 ",1
69,"d69_ Europe_GB_Bawden_Rocks_-54 ",1
69,"d69_ Europe_GB_Bedruthan_-_Park_Head_29 ",1
69,"d69_ Europe_GB_Beeny_-139 ",1
69,"d69_ Europe_GB_Beeny_Sisters_-139 ",1
69,"d69_ Europe_GB_Beer_25 ",1
69,"d69_ Europe_GB_Beesands_-82 ",1
69,"d69_ Europe_GB_Blackers_Hole_-_Dancing_Ledge_28 ",1
69,"d69_ Europe_GB_Bognor_4_11 ",1
69,"d69_ Europe_GB_Bognor_5_11 ",1
69,"d69_ Europe_GB_Brandy_Head_to_Chiselbury_Bay_2 ",1
69,"d69_ Europe_GB_Brownsea_Island_1_-47 ",1
69,"d69_ Europe_GB_Buckator_-139 ",1
69,"d69_ Europe_GB_Budleigh_Salterton_2 ",1
69,"d69_ Europe_GB_Burgh_Island_17 ",1
69,"d69_ Europe_GB_Butter_Cove_17 ",1
69,"d69_ Europe_GB_Cadgwith_-_Kennack_1_3 ",1
69,"d69_ Europe_GB_Cadgwith_-_Kennack_2_3 ",1
69,"d69_ Europe_GB_Cam_Strand_-139 ",1
69,"d69_ Europe_GB_Carnewas_Island_-38 ",1
69,"d69_ Europe_GB_Carvannet_-_Portreath_1_-56 ",1
69,"d69_ Europe_GB_Carvannet_-_Portreath_2_-56 ",1
69,"d69_ Europe_GB_Carvannet_-_Portreath_3_-56 ",1
69,"d69_ Europe_GB_Carvannet_-_Portreath_4_-56 ",1
69,"d69_ Europe_GB_Carvannet_-_Portreath_5_-56 ",1
69,"d69_ Europe_GB_CG_Lookout_-82 ",1
69,"d69_ Europe_GB_Chesil_Beach_1_28 ",1
69,"d69_ Europe_GB_Chiselbury_Bay_to_Ladram_Bay_2 ",1
69,"d69_ Europe_GB_Cligga_Bay_-54 ",1
69,"d69_ Europe_GB_Cligga_to_end_SSSI_-54 ",1
69,"d69_ Europe_GB_Cod_Rocks_-4 ",1
69,"d69_ Europe_GB_Coverack_-_Porhoustock_4_1 ",1
69,"d69_ Europe_GB_Coverack_-_Porthoustock_1_3 ",1
69,"d69_ Europe_GB_Coverack_-_Porthoustock_2_1 ",1
69,"d69_ Europe_GB_Coverack_-_Porthoustock_3_1 ",1
69,"d69_ Europe_GB_Crackington_-139 ",1
69,"d69_ Europe_GB_Crafthole_30 ",1
69,"d69_ Europe_GB_Dancing_Beggars_A_-82 ",1
69,"d69_ Europe_GB_Dancing_Ledge_-_Winspit_18 ",1
69,"d69_ Europe_GB_Devonport_East_4_12 ",1
69,"d69_ Europe_GB_Devonport_East_5_12 ",1
69,"d69_ Europe_GB_Dollar_Rock_-38 ",1
69,"d69_ Europe_GB_Durlston_-_Anvil_28 ",1
69,"d69_ Europe_GB_East_Pentire_25 ",1
69,"d69_ Europe_GB_Eastbourne_2_27 ",1
69,"d69_ Europe_GB_Eastbourne_3_24 ",1
69,"d69_ Europe_GB_Eastbourne_4_24 ",1
69,"d69_ Europe_GB_Eastern_Blackstone_30 ",1
69,"d69_ Europe_GB_Exmouth_2 ",1
69,"d69_ Europe_GB_Gammon_East_68 ",1
69,"d69_ Europe_GB_Godrevy_2_-123 ",1
69,"d69_ Europe_GB_Godrevy_3_-123 ",1
69,"d69_ Europe_GB_Godrevy_4_-123 ",1
69,"d69_ Europe_GB_Goldsithney_1_5 ",1
69,"d69_ Europe_GB_Gorregan_Whole_Island_87 ",1
69,"d69_ Europe_GB_Gugh_Whole_Isle_87 ",1
69,"d69_ Europe_GB_Gull_Rock_39 ",1
69,"d69_ Europe_GB_Halisands_A_69 ",1
69,"d69_ Europe_GB_Halisands_B_69 ",1
69,"d69_ Europe_GB_Helford_River_1_-73 ",1
69,"d69_ Europe_GB_Helston_1_26 ",1
69,"d69_ Europe_GB_Helston_10_26 ",1
69,"d69_ Europe_GB_Helston_2_26 ",1
69,"d69_ Europe_GB_Helston_3_26 ",1
69,"d69_ Europe_GB_Helston_4_26 ",1
69,"d69_ Europe_GB_Helston_5_26 ",1
69,"d69_ Europe_GB_Helston_6_26 ",1
69,"d69_ Europe_GB_Helston_7_26 ",1
69,"d69_ Europe_GB_Helston_8_26 ",1
69,"d69_ Europe_GB_Helston_9_26 ",1
69,"d69_ Europe_GB_HMNB/_Morice_Yard_12 ",1
69,"d69_ Europe_GB_HMNB/_Royal_William_Yard_12 ",1
69,"d69_ Europe_GB_HMNB/_South_Yard_12 ",1
69,"d69_ Europe_GB_HMS_Raleigh_12 ",1
69,"d69_ Europe_GB_Hoe_Point_39 ",1
69,"d69_ Europe_GB_Hope_Cove_55 ",1
69,"d69_ Europe_GB_Innisvouls_-_petrels_-1 ",1
69,"d69_ Europe_GB_Ivy_Cove_A_-4 ",1
69,"d69_ Europe_GB_Ivy_Cove_B_-4 ",1
69,"d69_ Europe_GB_Kelsey_Head_-54 ",1
69,"d69_ Europe_GB_Kennack_-_Coverack_1_3 ",1
69,"d69_ Europe_GB_Kennack_-_Coverack_2_3 ",1
69,"d69_ Europe_GB_Kennack_-_Coverack_3_3 ",1
69,"d69_ Europe_GB_Kennack_-_Coverack_4_3 ",1
69,"d69_ Europe_GB_Kennack_-_Coverack_5_3 ",1
69,"d69_ Europe_GB_Lesley_House_-205 ",1
69,"d69_ Europe_GB_Ligger_Point_-_Holywell_-54 ",1
69,"d69_ Europe_GB_Liskeard_-133 ",1
69,"d69_ Europe_GB_Lodmoor_1_18 ",1
69,"d69_ Europe_GB_Long_Island_and_Round_Island_-52 ",1
69,"d69_ Europe_GB_Maiden_Bower_31 ",1
69,"d69_ Europe_GB_Mawgan_-_Bedruthan_-38 ",1
69,"d69_ Europe_GB_Melledgan_Whole_Island_87 ",1
69,"d69_ Europe_GB_Menawethan_Whole_Isle_-1 ",1
69,"d69_ Europe_GB_Menrage_Coastal_1_-73 ",1
69,"d69_ Europe_GB_Methleigh_26 ",1
69,"d69_ Europe_GB_Mewstone_30 ",1
69,"d69_ Europe_GB_Millendreath_11 ",1
69,"d69_ Europe_GB_Minnows_29 ",1
69,"d69_ Europe_GB_Mullion_56 ",1
69,"d69_ Europe_GB_Newdowns_Head_to_Seal_Hole_(Limit_of_SSSI)_-54 ",1
69,"d69_ Europe_GB_Newquay_Harbour_-_Lusty_Gaze_-38 ",1
69,"d69_ Europe_GB_Newton_Abbot_Town_-103 ",1
69,"d69_ Europe_GB_Nornour_While_Isle_-1 ",1
69,"d69_ Europe_GB_North_Cliffs_1_-123 ",1
69,"d69_ Europe_GB_North_Cliffs_2_-56 ",1
69,"d69_ Europe_GB_North_Cliffs_3_-56 ",1
69,"d69_ Europe_GB_North_Cliffs_4_-56 ",1
69,"d69_ Europe_GB_North_Cliffs_5_-56 ",1
69,"d69_ Europe_GB_North_Cliffs_6_-56 ",1
69,"d69_ Europe_GB_North_Cornwall_1_-77 ",1
69,"d69_ Europe_GB_North_Cornwall_2_-77 ",1
69,"d69_ Europe_GB_North_Cornwall_3_29 ",1
69,"d69_ Europe_GB_North_Cornwall_4_29 ",1
69,"d69_ Europe_GB_North_Cornwall_5_29 ",1
69,"d69_ Europe_GB_North_Solent_National_Nature_Reserve_-14 ",1
69,"d69_ Europe_GB_Norwethal_Whole_Isle_31 ",1
69,"d69_ Europe_GB_Otterton_Ledge_to_Brandy_Head_2 ",1
69,"d69_ Europe_GB_Par_2_-75 ",1
69,"d69_ Europe_GB_Park_Head_to_Porthmeor_29 ",1
69,"d69_ Europe_GB_Penally_31 ",1
69,"d69_ Europe_GB_Penryn_-140 ",1
69,"d69_ Europe_GB_Pentargon_31 ",1
69,"d69_ Europe_GB_Pentargon_Cove_-139 ",1
69,"d69_ Europe_GB_Pig_Nose_68 ",1
69,"d69_ Europe_GB_Pilchard_Cove_-82 ",1
69,"d69_ Europe_GB_Polruan_-14 ",1
69,"d69_ Europe_GB_Porth_-38 ",1
69,"d69_ Europe_GB_Porthleven_26 ",1
69,"d69_ Europe_GB_Porthoustock_Quarry_1 ",1
69,"d69_ Europe_GB_Portland_1_28 ",1
69,"d69_ Europe_GB_Portland_10_6 ",1
69,"d69_ Europe_GB_Portland_11_6 ",1
69,"d69_ Europe_GB_Portland_12_6 ",1
69,"d69_ Europe_GB_Portland_13_6 ",1
69,"d69_ Europe_GB_Portland_2_28 ",1
69,"d69_ Europe_GB_Portland_3_28 ",1
69,"d69_ Europe_GB_Portland_4_28 ",1
69,"d69_ Europe_GB_Portland_5_46 ",1
69,"d69_ Europe_GB_Portland_6_28 ",1
69,"d69_ Europe_GB_Portland_7_28 ",1
69,"d69_ Europe_GB_Portland_8_6 ",1
69,"d69_ Europe_GB_Portland_9_6 ",1
69,"d69_ Europe_GB_Portreath_-_Porthtowan_1_-56 ",1
69,"d69_ Europe_GB_Portreath_-_Porthtowan_2_-56 ",1
